timestamp,samples_per_sec,total_samples
2025-07-01T22:52:21+07:00,1122141.60,355318682
2025-07-01T22:52:26+07:00,889008.80,359763726
2025-07-01T22:52:31+07:00,1031066.60,364919059
2025-07-01T22:52:36+07:00,1023857.80,370038348
2025-07-01T22:52:41+07:00,1033481.40,375205755
2025-07-01T22:52:46+07:00,915769.60,379784603
2025-07-01T22:52:51+07:00,985397.40,384711590
2025-07-01T22:52:56+07:00,923303.40,389328107
2025-07-01T22:53:01+07:00,1056063.80,394608426
2025-07-01T22:53:06+07:00,998499.60,399600924
2025-07-01T22:53:11+07:00,944740.00,404324624
2025-07-01T22:53:16+07:00,1006580.80,409357528
2025-07-01T22:53:21+07:00,1079441.60,414754736
2025-07-01T22:53:26+07:00,1008914.40,419799308
2025-07-01T22:53:31+07:00,945146.60,424525041
2025-07-01T22:53:36+07:00,1018240.60,429616244
2025-07-01T22:53:41+07:00,958786.60,434410177
2025-07-01T22:53:46+07:00,979701.60,439308685
2025-07-01T22:53:51+07:00,924412.60,443930748
2025-07-01T22:53:56+07:00,1088088.20,449371189
2025-07-01T22:54:01+07:00,969419.60,454218287
2025-07-01T22:54:06+07:00,995040.20,459193488
2025-07-01T22:54:11+07:00,1019290.40,464289940
2025-07-01T22:54:16+07:00,927817.80,468929029
2025-07-01T22:54:21+07:00,1053263.40,474195346
2025-07-01T22:54:26+07:00,971040.00,479050546
2025-07-01T22:54:31+07:00,1000450.80,484052800
2025-07-01T22:54:36+07:00,962174.20,488863671
2025-07-01T22:54:41+07:00,998484.20,493856092
2025-07-01T22:54:46+07:00,1026047.80,498986331
2025-07-01T22:54:51+07:00,900611.40,503489388
2025-07-01T22:54:57+07:00,1054081.40,508759795
2025-07-01T22:55:02+07:00,909777.00,513308680
2025-07-01T22:55:07+07:00,1035663.60,518486998
2025-07-01T22:55:12+07:00,929418.80,523134092
2025-07-01T22:55:17+07:00,1126302.20,528765603
2025-07-01T22:55:22+07:00,833413.60,532932671
2025-07-01T22:55:27+07:00,1012548.00,537995411
2025-07-01T22:55:32+07:00,945402.40,542722423
2025-07-01T22:55:37+07:00,1069255.80,548068702
2025-07-01T22:55:42+07:00,975980.40,552948604
2025-07-01T22:55:47+07:00,1003591.20,557966560
2025-07-01T22:55:52+07:00,1118568.80,563559404
2025-07-01T22:55:58+07:00,797908.80,567548948
2025-07-01T22:56:03+07:00,1181276.40,573455330
2025-07-01T22:56:08+07:00,814986.60,577530263
2025-07-01T22:56:13+07:00,1202331.80,583541922
2025-07-01T22:56:18+07:00,765551.00,587369677
2025-07-01T22:56:23+07:00,1210372.40,593421539
2025-07-01T22:56:28+07:00,829071.20,597566895
